Task ID,Subject,Start Date,End Date,Start Time,End Time
JN052-001,[JN052 HUNTER] Signed acceptance proposal,16/09/26,16/09/26,14:30,15:30
JN052-002,[JN052 HUNTER] Deposit Paid,23/09/26,23/09/26,14:30,15:30
JN052-003,[JN052 HUNTER] Final Measure,28/09/26,28/09/26,14:30,15:30
JN052-004,[JN052 HUNTER] Product ordered,01/10/26,01/10/26,14:30,15:30
JN052-005,[JN052 HUNTER] Manufacture,12/10/26,12/10/26,14:30,15:30
JN052-006,[JN052 HUNTER] Progress Claim Paid,27/10/26,27/10/26,14:30,15:30
JN052-007,[JN052 HUNTER] Deliver to site,29/10/26,29/10/26,14:30,15:30
JN052-008,[JN052 HUNTER] Bookshelf Install,03/11/26,03/11/26,14:30,15:30
JN052-009,[JN052 HUNTER] Final Invoice,06/11/26,06/11/26,14:30,15:30
JN052-010,[JN052 HUNTER] Handover,06/11/26,06/11/26,14:30,15:30
